БЕГ|Боловсролын Ерөнхий Газар
ХАА|Хөдөө Аж Ахуй
ХААИС|Хөдөө Аж Ахуйн Их Сургууль
ХААН|Хөдөө Аж Ахуйн Банк
ХААЯ|Хөдөө Аж Ахуйн Яам
ХАБ|Хөдөлмөрийн Аюулгүй Байдал
ХАСУМ|Хувийн Ашиг Сонирхлын Урьдчилсан Мэдүүлэг
ХАҮТ|Худалдаа Аж Үйлдвэрийн Танхим
ХБНГУ|Холбооны Бүгд Найрамдах Герман Улс
ХБОБНУГ|Хүрээлэн Буй Орчин, Байгалийн Нөөцийн Удирдлагын Газар
ХДХВ|Хүний Дархлал Хомсдолын Вирус
ХЗБХ|Хууль Зүйн Байнгын Хороо
ХЗДХ|Хууль Зүй, Дотоод Хэрэг
ХЗДХЯ|Хууль Зүй, Дотоод Хэргийн Яам
ХЗХ|Хадгаламж Зээлийн Хоршоо
ХЗХБ|Химийн Зэвсгийг Хориглох Байгууллага
ХИС|Хүмүүнлэгийн Ухааны Их Сургууль
ХК|Хувьцаат Компани
ХКН|Хятадын Коммунист Нам
ХМА|Хэвлэл Мэдээллийн Алба
ХМЗ|Хэвлэл Мэдээллийн Зөвлөл
ХМК|Ханын Материалын Комбинат
ХМОНХА|Хэвлэл Мэдээлэл Олон Нийттэй Харилцах Алба
ХМОНХХ|Хэвлэл Мэдээлэл, Олон Нийттэй Харилцах Хэлтэс
ХМХ|Хэвлэл, Мэдээллийн Хэрэгсэл
ХНН|Хувь Нийлүүлсэн Нийгэмлэг
ХНХХ|Хөдөлмөр Нийгмийн Хамгаалал
ХНХЯ|Хөдөлмөр, Нийгэм Хамгааллын Яам
ХО|Хот Орчим
ХОМ|Хөрөнгө Орлогын Мэдүүлэг
ХОЭАХЗ|Хөрөнгө Оруулагчдын Эрх Ашгийг Хамгаалах Зөвлөл
ХСАХ|Хязгаарлагдмал Сонгууль Ажиглах Хороо
ХСИС|Хууль Сахиулахын Их Сургууль
ХСНХ|Хэрэглэгчийн Систем Нийлүүлэгчдийн Холбоо
ХСҮТ|Хавдар Судлалын Үндэсний Төв
ХТИХ|Хариуцлага Тооцох Иргэдийн Хөдөлгөөн
ХУД|Хан-Уул Дүүрэг
ХУИС|Хүмүүнлэгийн Ухааны Их Сургууль
ХУНЭ|Хан-Уул Дүүргийн Нэгдсэн Эмнэлэг
ХХ|Хорьдугаар
ХХАА|Хүнс, Хөдөө Аж Ахуй
ХХААБ|Хүнс, Хөдөө Аж Ахуйн Байгууллага
ХХААГ|Хүнс, Хөдөө Аж Ахуйн Газар
ХХААХҮ|Хүнс, Хөдөө Аж Ахуй, Хөнгөн Үйлдвэр
ХХААХҮЯ|Хүнс, Хөдөө Аж Ахуй, Хөнгөн Үйлдвэрийн Яам
ХХАХҮ|Хүнс Хөдөө Аж Ахуй Хөнгөн Үйлдвэр
ХХБ|Худалдаа Хөгжлийн Банк
ХХГХ|Хүн Худалдаалах Гэмт Хэрэг
ХХЕГ|Хил Хамгаалах Ерөнхий Газар
ХХЗХ|Харилцаа Холбооны Зохицуулах Хороо
ХХК|Хязгаарлагдмал Хариуцлагатай Компани
ХХН|Хязгаарлагдмал Хариуцлагатай Нөхөрлөл
ХХОАТ|Хувь Хүний Орлогын Албан Татвар
ХЦДБЧ|Хилийн Цэргийн Дуу Бүжгийн Чуулга
ХШҮДАГ|Хяналт-Шинжилгээ, Үнэлгээ, Дотоод Аудитын Газар
ХЭЗ|Хүний Эрхийн Зөвлөл
ХЭХ|Хувьцаа Эзэмшигчдийн Хурал
ХЭҮК|Хүний Эрхийн Үндэсний Комисс
ХҮБХЗГ|Хөнгөн Үйлдвэрийн Бодлогын Хэрэгжилтийг Зохицуулах Газар
ХҮИС|Худалдаа Үйлдвэрлэлийн Их Сургууль
ХҮН|Хөдөлмөрийн Үндэсний Нам
ХӨСҮТ|Халдварт Өвчин Судлалын Үндэсний Төв
ХӨТСА|Халдварт Өвчний Тандалт Судалгааны Алба
ХҮБХЗГ|Хөнгөн Үйлдвэрийн Бодлогын Хэрэгжилтийг Зохицуулах Газар
ЦДАШ|Цахилгаан Дамжуулах Агаарын Шугам
ЦДБЭЧ|Цэргийн Дуу Бүжгийн Эрдмийн Чуулга
ЦДҮС|Цахилгаан Дамжуулах Үндэсний Сүлжээ
ЦЕГ|Цагдаагийн Ерөнхий Газар
ЦССТ|Цус Сэлбэлт Судлалын Төв
ЦССҮТ|Цус Сэлбэлт Судлалын Үндэсний Төв
ЦТС|Цахилгаан Түгээх Сүлжээ
ЦУОШГ|Цаг Уур, Орчны Шинжилгээний Газар
ЧД|Чингэлтэй Дүүрэг
ШЕЗ|Шүүхийн Ерөнхий Зөвлөл
ШНУГТЭ|Шастины Нэрэмжит Улсын Гуравдугаар Төв Эмнэлэг
ШТС|Шатахуун Түгээх Станц
ШУ|Шинжлэх Ухаан
ШУА|Шинжлэх Ухааны Академи
ШУТБГ|Шинжлэх Ухаан, Технологийн Бодлогын Газар
ШУТИС|Шинжлэх Ухаан Технологийн Их Сургууль
ШУТС|Шинжлэх Ухаан Технологийн Сан
ШХА|Швейцарын Хөгжлийн Агентлаг
ШХАБ|Шанхайн Хамтын Ажиллагааны Байгууллага
ШШГБ|Шүүхийн Шийдвэр Гүйцэтгэх Байгууллага
ШШГЕГ|Шүүхийн Шийдвэр Гүйцэтгэх Ерөнхий Газар
ШШҮХ|Шүүхийн Шинжилгээний Үндэсний Хүрээлэн
ШӨХТГ|Шударга Өрсөлдөөн Хэрэглэгчийн Төлөө Газар
ЭЕШ|Элсэлтийн Ерөнхий Шалгалт
ЭЗХАХБ|Эдийн Засгийн Хамтын Ажиллагаа, Хөгжлийн Байгууллага
ЭЗХХАС|Эдийн Засгийн Хөгжлийн Хамтын Ажиллагааны Сан
ЭЗҮДС|Эдийн Засгийн Үндэсний Дээд Сургууль
ЭИХХЦХХ|Экспорт, Импорт, Хилийн Хорио Цээрийн Хяналтын Хэлтэс
ЭМ|Эрүүл Мэнд
ЭМАҮЭХ|Эрүүл Мэндийн Ажилтны Үйлдвэрчний Эвлэлийн Хороо
ЭМБСХТ|Эрүүл Мэнд, Боловсрол, Соёлын Хяналтын Төв
ЭМБСХХ|Эрүүл Мэнд, Боловсрол, Соёлын Хяналтын Хэлтэс
ЭМД|Эрүүл Мэндийн Даатгал
ЭМТ|Эрүүл Мэндийн Төв
ЭМШУИС|Эрүүл Мэндийн Шинжлэх Ухааны Их Сургууль
ЭМЯ|Эрүүл Мэндийн Яам
ЭНХ|Энэтхэгийн Нисэх Хүчин
ЭОХ|Эх Оронч Хүмүүжил
ЭСХЗ|Энэтхэгийн Соёлын Харилцааны Зөвлөл
ЭСЯ|Элчин Сайдын Яам
ЭСҮТ|Эмгэг Судлалын Үндэсний Төв
ЭТТ|Эрдэнэс-Таван Толгой
ЭХ|Эрүүгийн Хууль
ЭХХШТХ|Эрүүгийн Хэрэг Хянан Шийдвэрлэх Тухай Хууль
ЭХЭМҮТ|Эх Хүүхдийн Эрүүл Мэндийн Үндэсний Төв
ЭХЯ|Эрчим Хүчний Яам
ЭЦА|Эрүүгийн Цагдаагийн Алба
ЭЦГ|Эрүүгийн Цагдаагийн Газар
ЭША|Эрдэм Шинжилгээний Ажилтан
ЭҮ|Эрдэнэт Үйлдвэр
ЮНЕСКО|ЮНЕСКО
ЮНИДО|Нэгдсэн Үндэстний Байгууллагын Үйлдвэр Хөгжлийн Байгууллага
ҮАБЗ|Үндэсний Аюулгүй Байдлын Зөвлөл
ҮАҮЗ|Үндэсний Аж Үйлдвэрийн Зөвлөл
ҮБТДС|Үндэсний Биеийн Тамирын Дээд Сургууль
ҮБХ|Үндэсний Бөхийн Холбоо
ҮБХИС|Үндэсний Батлан Хамгаалахын Их Сургууль
ҮГА|Үндэсний Геологийн Алба
ҮЗХ|Үндэсний Зөвлөлдөх Хороо
ҮОХ|Үндэсний Олимпын Хороо
ҮОЭТ|Үндэсний Оношилгоо, Эмчилгээний Төв
ҮСХ|Үндэсний Статистикийн Хороо
ҮТЕГ|Үндэсний Татварын Ерөнхий Газар
ҮХ|Үйлдвэрчний Хороо
ҮХАА|Үйлдвэр, Хөдөө Аж Ахуй
ҮХЦ|Үндсэн Хуулийн Цэц
ҮЦК|Үнэт Цаасны Компани
ҮШБ|Үндэсний Шигшээ Баг
ҮЭ|Үйлдвэрчний Эвлэл
ҮЭХ|Үйлдвэрчний Эвлэлийн Хороо
ӨАБНУ|Өмнөд Африкийн Бүгд Найрамдах Улс
ӨЗО|Өөртөө Засах Орон
ӨМӨЗО|Өвөр Монголын Өөртөө Засах Орон
ӨХХ|Өөрийгөө Хамгаалах Хүч
ӨЭМТ|Өрхийн Эрүүл Мэндийн Төв
ХБИ|Хөгжлийн Бэрхшээлтэй Иргэн
